N,pTrue,beta,pEst,absErr,totalQueryNum,maxDepth
8.0,0.6496047674199278,0.25000000000000006,0.6485648564856485,0.0010399109342792423,95472.0,424.0
11.0,0.6496047674199278,0.2882859682197748,0.647964796479648,0.001639970940279789,204336.0,473.0
16.0,0.6496047674199278,0.33333333333333337,0.645964596459646,0.0036401709602817967,474912.0,528.0
22.0,0.6496047674199278,0.3716193015531082,0.6466646664666467,0.0029401009532811218,1120284.0,638.0
32.0,0.6496047674199278,0.4166666666666667,0.6504650465046505,0.0008602790847227482,2933568.0,736.0
45.0,0.6496047674199278,0.45765442469413964,0.6468646864686469,0.0027400809512808655,7054560.0,855.0
64.0,0.6496047674199278,0.5,0.6495649564956496,3.9810924278183e-05,17372160.0,1088.0
90.0,0.6496047674199278,0.5409877580274729,0.6494649464946495,0.00013982092527831114,42162120.0,1170.0
128.0,0.6496047674199278,0.5833333333333334,0.6492649264926493,0.0003398409272784564,107889408.0,1408.0
