N,pTrue,K,pEst,absErr,totalQueryNum,maxDepth
8,0.6496047674199278,8,0.6485617311731171,0.0010430362468106802,181741,255
11,0.6496047674199278,8,0.6506806930693069,0.0010759256493790836,248962,255
16,0.6496047674199278,8,0.6436924942494249,0.005912273170502913,363104,255
22,0.6496047674199278,9,0.64619899489949,0.003405772520437833,1004738,511
32,0.6496047674199278,9,0.6522933543354336,0.002688586915505775,1462653,511
45,0.6496047674199278,9,0.6517182968296831,0.002113529409755288,2055887,511
64,0.6496047674199278,9,0.6483117061706171,0.001293061249310723,2933866,511
90,0.6496047674199278,10,0.651868311831183,0.0022635444112552028,8246577,1023
