N,pTrue,eps,pEst,absErr,totalQueryNum,maxDepth
8,0.6496047674199278,0.005524271728019902,0.6490617811781179,0.0005429862418099285,163720,181
11,0.6496047674199278,0.004711114759027557,0.6459177167716773,0.0036870506482504783,235634,212
16,0.6496047674199278,0.00390625,0.6522558505850585,0.002651083165130741,362301,255
22,0.6496047674199278,0.0033312611930564127,0.6472866036603661,0.002318163759561731,865643,300
32,0.6496047674199278,0.002762135864009951,0.6491555405540557,0.000449226865872121,1319916,362
45,0.6496047674199278,0.002329237476562281,0.6549186168616863,0.0053138494417585,1949924,429
64,0.6496047674199278,0.001953125,0.6515495299529954,0.0019447625330676344,2929294,511
90,0.6496047674199278,0.0016470196146710309,0.6506369386938694,0.0010321712739416178,7141456,607
128,0.6496047674199278,0.0013810679320049755,0.6427736523652366,0.006831115054691139,10596302,724
